isAfterCommit;commitId;comment_lines;complexity;lines;statements
false;86cd4b29399368bd95e924a6a36210a142c875d4;2831;6866;32932;14294
true;86cd4b29399368bd95e924a6a36210a142c875d4;2831;6868;32942;14299
false;a11eb9ce491b46c6b931f7f57044a3908a94fad4;2829;6885;32981;14321
true;a11eb9ce491b46c6b931f7f57044a3908a94fad4;2828;6863;32914;14287
false;2d7f0ff8b36a733f2fbba57bab97047ef096480a;2810;6835;32690;14216
true;2d7f0ff8b36a733f2fbba57bab97047ef096480a;2815;6845;32724;14232
false;cd68c2a801c99d52f6cb680ce98b2e0db8f708e5;2683;6473;30853;13480
true;cd68c2a801c99d52f6cb680ce98b2e0db8f708e5;2683;6475;30866;13486
false;8f00e3759796730e722308aa312028af2aaa6a27;2661;6431;30667;13408
true;8f00e3759796730e722308aa312028af2aaa6a27;2661;6432;30671;13409
isAfterCommit;commitId;comment_lines;complexity;lines;statements
false;72c48d17c87f5089396be24a5830b9b113f1d993;2656;6342;30370;13281
true;72c48d17c87f5089396be24a5830b9b113f1d993;2654;6347;30392;13294
false;2833774d7fb87430566706a37c1662474308ff37;2640;6175;29578;12906
true;2833774d7fb87430566706a37c1662474308ff37;2643;6250;30004;13087
false;6fdf21fd7300e3eaa0c9a476dc543c4fca7ff639;2751;6020;29321;12727
true;6fdf21fd7300e3eaa0c9a476dc543c4fca7ff639;2756;6033;29369;12754
false;058ea6e2c942cc94e46e0af35f621338ab42a4e6;2728;5972;29058;12598
true;058ea6e2c942cc94e46e0af35f621338ab42a4e6;2751;5999;29220;12674
false;c26bf03883dd2aea896155458274c05cbcf7d090;2729;5933;28902;12522
true;c26bf03883dd2aea896155458274c05cbcf7d090;2728;5972;29058;12598
false;8002c510d9a7cf1aa07e1aedd6c24568a01310d1;2729;5930;28880;12515
true;8002c510d9a7cf1aa07e1aedd6c24568a01310d1;2729;5933;28902;12522
false;5b5c41940affb2efcbe74ad9c78ba468d295980c;2729;5930;28911;12546
true;5b5c41940affb2efcbe74ad9c78ba468d295980c;2729;5930;28880;12515
false;85a84f467725618927188e09d6e386ce1a9f2a64;2745;5914;28849;12508
true;85a84f467725618927188e09d6e386ce1a9f2a64;2729;5930;28911;12546
false;c241d77b312a31d59abee30fa48aae2a5765ac5d;2745;5903;28816;12488
true;c241d77b312a31d59abee30fa48aae2a5765ac5d;2745;5914;28851;12507
false;9aa0abbdab3b4826e85678fa2f9d37811d6c9897;2758;5934;29022;12587
true;9aa0abbdab3b4826e85678fa2f9d37811d6c9897;2746;5901;28808;12487
false;71c6e749c698fa41f59b4d856aadd65942b500e0;2742;5909;28737;12451
true;71c6e749c698fa41f59b4d856aadd65942b500e0;2742;5910;28742;12453
false;e793425afbd2116891c9c8ef21829cdd153c07d5;2743;5908;28737;12454
true;e793425afbd2116891c9c8ef21829cdd153c07d5;2758;5934;29022;12587
false;0f1c2c6a246c5033c83ac37eb261775377e2226e;2742;5906;28743;12455
true;0f1c2c6a246c5033c83ac37eb261775377e2226e;2743;5908;28737;12454
false;e2aa872b37d79cab2b960d308d4f6e82b7d30902;2743;5886;28633;12407
true;e2aa872b37d79cab2b960d308d4f6e82b7d30902;2737;5875;28606;12390
false;bc5c7e92cdd08f595569acce9a58cede3bccda97;2738;5819;28306;12207
true;bc5c7e92cdd08f595569acce9a58cede3bccda97;2734;5802;28286;12209
false;1da6edde80e3029d99084992ec1a4ada7b2cc279;2727;5794;28192;12151
true;1da6edde80e3029d99084992ec1a4ada7b2cc279;2738;5810;28265;12187
false;68e87b39ae2b57e9fbb0b0abde68112c839f05ee;2727;5788;28180;12141
true;68e87b39ae2b57e9fbb0b0abde68112c839f05ee;2727;5792;28189;12148
false;28c61716ee5e8f2402205e4b06ed7ee0a942a3cc;2727;5782;28159;12131
true;28c61716ee5e8f2402205e4b06ed7ee0a942a3cc;2727;5788;28180;12141
false;cb6521ac32f4737c42fc97fef972960bfe16c829;2727;5788;28180;12141
true;cb6521ac32f4737c42fc97fef972960bfe16c829;2727;5788;28180;12141
false;af60e99466b2dc2cec40328a4e790211159bb71c;2727;5788;28180;12141
true;af60e99466b2dc2cec40328a4e790211159bb71c;2727;5788;28180;12141
false;8e96ab360e04e056a0f75844d4c4d44ebf1261fb;2727;5788;28180;12141
true;8e96ab360e04e056a0f75844d4c4d44ebf1261fb;2727;5788;28180;12141
false;828a30d0ccc88b3f6e2b66d517ccf5f2394bd08b;2727;5788;28180;12141
true;828a30d0ccc88b3f6e2b66d517ccf5f2394bd08b;2727;5788;28180;12141
