isAfterCommit;commitId;comment_lines;complexity;lines;statements
false;0b063f8a09dae4b6b1de400ff2d9aba9108647de;7375;6077;57597;17037
true;0b063f8a09dae4b6b1de400ff2d9aba9108647de;7382;6078;57687;17059
false;64c9d9d7629600da81ceefcaa59c46e64d030874;7377;6023;57351;16916
true;64c9d9d7629600da81ceefcaa59c46e64d030874;7380;6026;57362;16919
false;64b1f05e7518e46c13ca9dbe8d2792054dd9a515;7370;6001;57158;16854
true;64b1f05e7518e46c13ca9dbe8d2792054dd9a515;7364;6041;57344;16939
false;c93b4245cb51484193c5c21d0e8ca727b6025a47;7356;5949;56721;16696
true;c93b4245cb51484193c5c21d0e8ca727b6025a47;7369;5967;56878;16728
false;5a01f5f6a9b55b1771fa5ebb2aa5d3ab1afc0297;7400;5955;56696;16650
true;5a01f5f6a9b55b1771fa5ebb2aa5d3ab1afc0297;7389;5957;56688;16647
false;6ec3b651690befb4226230855fa2e102654ad35f;7107;5896;55674;16211
true;6ec3b651690befb4226230855fa2e102654ad35f;7400;5955;56696;16650
false;63aa7259b9f48886af545afcc06c29acf225b05f;6993;5458;53386;15575
true;63aa7259b9f48886af545afcc06c29acf225b05f;6993;5458;53368;15571
false;fea7bc5968bf5e2acc164df2773a6b8ac5a53c70;7010;5720;54863;16136
true;fea7bc5968bf5e2acc164df2773a6b8ac5a53c70;7010;5720;54863;16136
false;48e54da484bc3416572fb48bc22d748a60ecd54f;6974;5598;53648;15704
true;48e54da484bc3416572fb48bc22d748a60ecd54f;6974;5598;53648;15704
false;4adcee69a04058a4858837752e7e8f011bb652f9;6974;5598;53649;15704
true;4adcee69a04058a4858837752e7e8f011bb652f9;6988;5646;53994;15842
false;0e0a8f65c52cae5c1e7ea7ef4bd196465667f842;6965;5586;53517;15650
true;0e0a8f65c52cae5c1e7ea7ef4bd196465667f842;6965;5585;53517;15645
false;705353fbafa04cca404d555a40a3f1dc69955d90;6946;5490;52595;15346
true;705353fbafa04cca404d555a40a3f1dc69955d90;6928;5479;52478;15303
